Fecha;Recurso;Código Agente;Tipo de Generación;Combustible por defecto;Tipo de Despacho;Capacidad Efectiva Neta
2006-01-01;RIO PIEDRAS (LA CEJA);EADG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;300
2006-01-01;RIO RECIO;ETSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;300
2006-01-01;RIO SAPUYES;CDNG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;1650
2006-01-01;RIOFRIO (TAMESIS);EADG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;1200
2006-01-01;RIOGRANDE I;EPMG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;25000
2006-01-01;RIONEGRO;EECG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;9600
2006-01-01;RUMOR;CETG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;2500
2006-01-01;SAJANDI;CDIG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;3200
2006-01-01;SALVAJINA;EPSG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;285000
2006-01-01;SAN CANCIO;CHCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;2000
2006-01-01;SAN CARLOS;ISGG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;1240000
2006-01-01;SAN FRANCISCO;CHCG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;135000
2006-01-01;SAN JOSE;GCEG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;380
2006-01-01;SANTA ANA;EMGG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;8000
2006-01-01;SERVITA;ESSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;650
2006-01-01;SILVIA;CDIG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;380
2006-01-01;SONSON;EADG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;18500
2006-01-01;SUEVA 2;EMGG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;6000
2006-01-01;TASAJERO 1;TRMG;TERMICA;CARBON;DESPACHADO CENTRALMENTE;155000
2006-01-01;TEBSAB;CRLG;TERMICA;GAS;DESPACHADO CENTRALMENTE;750000
2006-01-01;TEQUENDAMA;EMGG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;19400
2006-01-01;TERMOCANDELARIA 1;TCDG;TERMICA;GAS;DESPACHADO CENTRALMENTE;157000
2006-01-01;TERMOCANDELARIA 2;TCDG;TERMICA;GAS;DESPACHADO CENTRALMENTE;157000
2006-01-01;TERMOCENTRO CC;ISGG;TERMICA;GAS;DESPACHADO CENTRALMENTE;285000
2006-01-01;TERMODORADA 1;CHCG;TERMICA;GAS;DESPACHADO CENTRALMENTE;51000
2006-01-01;TERMOEMCALI 1;TEMG;TERMICA;GAS;DESPACHADO CENTRALMENTE;233000
2006-01-01;TERMOPIEDRAS;TRPG;TERMICA;GAS;NO DESPACHADO CENTRALMENTE;3750
2006-01-01;TERMOSIERRAB;EPMG;TERMICA;GAS;DESPACHADO CENTRALMENTE;455000
2006-01-01;TERMOVALLE 1;EPSG;TERMICA;GAS;DESPACHADO CENTRALMENTE;205000
2006-01-01;TERMOYOPAL 1;TYPG;TERMICA;GAS;NO DESPACHADO CENTRALMENTE;19900
2006-01-01;TERMOYOPAL 2;TYPG;TERMICA;GAS;DESPACHADO CENTRALMENTE;30000
2006-01-01;UNION;MCAG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;700
2006-01-01;URRA;EMUG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;335000
2006-01-01;VENTANA A;ETSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;2500
2006-01-01;VENTANA B;ETSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;2500
2006-01-01;ZARAGOZA;ESSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;1300
2006-01-01;ZIPAEMG 2;EMGG;TERMICA;CARBON;DESPACHADO CENTRALMENTE;34000
2006-01-01;ZIPAEMG 3;EMGG;TERMICA;CARBON;DESPACHADO CENTRALMENTE;63000
2006-01-01;ZIPAEMG 4;EMGG;TERMICA;CARBON;DESPACHADO CENTRALMENTE;64000
2006-01-01;ZIPAEMG 5;EMGG;TERMICA;CARBON;DESPACHADO CENTRALMENTE;64000
2006-01-02;ALBAN;EPSG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;439000
2006-01-02;AMERICA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;410
2006-01-02;ASNAZU;CDIG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;450
2006-01-02;AYURA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;18000
2006-01-02;BARRANQUILLA 3;CRLG;TERMICA;GAS;DESPACHADO CENTRALMENTE;64000
2006-01-02;BARRANQUILLA 4;CRLG;TERMICA;GAS;DESPACHADO CENTRALMENTE;63000
2006-01-02;BAYONA;MCAG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;600
2006-01-02;BELLO;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;350
2006-01-02;BELMONTE;EEPG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;3400
2006-01-02;BETANIA;CHBG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;540000
2006-01-02;CALICHAL;ESSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;200
